,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
231,ok,100421623334194238_mini_set2_RSD_v1,success,False,2730799104.0,4.0,AFT-MN-12,True,50.0
232,ok,101651263000499141_mini_set0_TEX_v1,success,False,10418677248.0,128.0,AFT-MN-05,False,1.0
233,ok,100562185288038229_mini_set1_PLT_NET_v1,success,False,10306333696.0,8.0,AFT-MN-12,False,1.0
234,xx,100313958514010469_mini_set2_ACT_410_v1,OOM,,,,,,
235,ok,100696788331297854_mini_set1_MD_5_BIS_v1,success,False,129511424.0,16.0,AFT-MN-11,True,50.0
236,ok,10175609899294998_mini_set1_PLT_NET_v1,success,False,318863872.0,16.0,AFT-MN-02,True,50.0
237,ok,10048875301630839_mini_set2_TEX_ALOT_v1,success,False,313641984.0,4.0,AFT-MN-08,True,50.0
238,ok,100317808712675780_mini_set2_INS_v1,success,False,4662039040.0,32.0,AFT-MN-08,True,50.0
239,ok,10056729486034908_mini_set2_PRT_v1,success,False,1741569024.0,2.0,AFT-MN-07,True,50.0
240,ok,102440144513217581_mini_set2_RSD_v1,success,False,3396926464.0,512.0,AFT-MN-02,True,50.0
241,ok,102140113730643895_mini_set0_PLK_v1,success,False,8621810688.0,128.0,AFT-MN-09,True,50.0
242,ok,100747707999089996_mini_set0_BCT_v1,success,False,5193978368.0,4.0,AFT-MN-12,True,50.0
243,xx,10082379963161573_mini_set1_MED_LF_v1,AMP,,,,,,
244,ok,101152828757641350_mini_set2_AWA_v1,success,False,9970405888.0,32.0,AFT-MN-03,False,1.0
245,ok,10154715291441110_mini_set0_PLK_v1,success,False,3833612288.0,4.0,AFT-MN-03,True,50.0
246,ok,101872690205721451_mini_set2_PLT_DOC_v1,success,False,10220791808.0,8.0,AFT-MN-03,False,1.0
247,xx,101272339251196442_mini_set1_TEX_DTD_v1,OOM,,,,,,
248,ok,100551476461653760_mini_set2_INS_v1,success,,,,,,
249,ok,10087411443281611_mini_set1_DOG_v1,success,False,5783420928.0,16.0,AFT-MN-04,True,50.0
250,ok,10221447284353102_mini_set2_MD_6_v1,success,False,5372447232.0,8.0,AFT-MN-06,True,50.0
251,ok,102689076860535248_mini_set0_MD_MIX_v1,success,,,,,,
252,xx,102187473783171251_mini_set1_PNU_v1,AMP,,,,,,
253,xx,10124468896061729_mini_set2_AWA_v1,AMP,,,,,,
254,ok,100368800628112646_mini_set0_FLW_v1,success,False,9550347776.0,16.0,AFT-MN-07,False,1.0
255,ok,23007148667950520_mini_set0_SPT_v1,success,False,322746368.0,4.0,AFT-MN-00,True,50.0
256,ok,100504369193986802_mini_set0_MD_MIX_v1,success,,,,,,
257,ok,102560541396477026_mini_set0_RESISC_v1,success,False,4814249984.0,256.0,AFT-MN-06,True,50.0
258,ok,101862473024417780_mini_set0_BRD_v1,success,False,182669312.0,4.0,AFT-MN-11,True,50.0
259,ok,100880203078553510_mini_set1_TEX_DTD_v1,success,False,4401955328.0,4.0,AFT-MN-12,True,50.0
260,ok,102724358968054043_mini_set2_PLT_DOC_v1,success,False,10459659776.0,32.0,AFT-MN-06,False,1.0
261,xx,1001190573203910_mini_set0_CRS_v1,OOM,,,,,,
262,ok,1034225960328505_mini_set0_BRD_v1,success,False,239991808.0,2.0,AFT-MN-03,True,50.0
263,ok,101164895536564772_mini_set0_RESISC_v1,success,False,8097182208.0,32.0,AFT-MN-04,True,50.0
264,xx,1010533982134841_mini_set0_SPT_v1,cuDNN_error,,,,,,
265,ok,10113441139066147_mini_set0_TEX_v1,success,True,9666593792.0,16.0,AFT-MN-12,True,26.0
