device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,curve_length
1,3.0074784994125365,2.5,21.25,False,700403200,8,326490297340769194_micro_set2_INS_v1,AFT-MC-00,50
1,3.0061362981796265,11.25,33.75,False,1012776960,16,219585497443910520_micro_set2_ACT_410_v1,AFT-MC-00,50
1,3.08080997467041,5.0,17.5,False,8526807040,32,79782743601154648_micro_set1_TEX_DTD_v1,AFT-MC-00,50
1,3.237867593765259,12.5,18.75,False,10356440064,8,37382275699742908_micro_set0_SPT_v1,AFT-MC-00,1
1,3.1185546875,6.875,28.125,False,129298432,8,31058464346986847_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,,1.875,21.875,True,6824555008,8,255275862981737855_micro_set1_MD_5_BIS_v1,AFT-MC-00,1
1,3.202197265625,4.375,25.0,True,1241582080,2,2196929350348093_micro_set1_MD_5_BIS_v1,AFT-MC-00,47
1,3.112782597541809,3.125,23.4375,False,9145980416,32,3106098290838484_micro_set0_BCT_v1,AFT-MC-00,1
1,3.3628545701503754,5.0,27.5,False,681056768,4,19508483859357548_micro_set0_SPT_v1,AFT-MC-00,50
1,3.12109375,5.625,28.125,False,1322738176,256,14187362628070257_micro_set2_AWA_v1,AFT-MC-00,50
1,3.6529296875,3.75,20.0,False,10398926848,8,25219960883740707_micro_set1_APL_v1,AFT-MC-00,50
1,3.0037335574626924,7.5,23.75,False,9012921344,4,19559554068059822_micro_set2_AWA_v1,AFT-MC-00,50
1,,5.0,25.0,True,10135397888,4,51418908613230041_micro_set0_RESISC_v1,AFT-MC-00,1
1,3.444013836979866,4.375,26.25,False,399639552,2,46122302163814290_micro_set2_INS_v1,AFT-MC-00,50
1,3.0039326667785646,5.0,28.125,False,7971667456,32,78792458216276978_micro_set1_TEX_DTD_v1,AFT-MC-00,50
1,3.0691730976104736,12.5,12.5,False,10253603840,4,389170455920430616_micro_set0_CRS_v1,AFT-MC-00,1
1,3.1875,3.125,15.625,False,10178268672,16,400082682267119981_micro_set0_BCT_v1,AFT-MC-00,1
1,,0.0,6.25,True,9377520640,8,7650948345620875_micro_set0_RESISC_v1,AFT-MC-00,1
1,3.1841796875,6.25,25.625,False,10338159616,8,6976526964420609_micro_set0_BCT_v1,AFT-MC-00,50
1,3.4372398853302,5.0,25.625,False,10140603904,32,11168283808749738_micro_set0_FLW_v1,AFT-MC-00,50
1,2.9955078125,5.625,31.25,False,10369242112,4,40161957925712445_micro_set2_PRT_v1,AFT-MC-00,50
1,3091733.2453125,4.375,25.625,False,601361920,2,16042543600635612_micro_set0_SPT_v1,AFT-MC-00,50
1,2.9812756061553953,9.375,30.625,False,2402454528,64,511204419345648718_micro_set2_AWA_v1,AFT-MC-00,50
1,3.243212890625,3.75,23.125,False,138365440,4,1956694281521745_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.31904296875,1.875,16.875,False,10312469504,8,19544989141717657_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.453153133392334,6.25,25.0,False,9698955776,32,111826919517727942_micro_set1_ACT_40_v1,AFT-MC-00,1
1,3.1064453125,4.6875,23.4375,False,7738816000,32,78989720682840909_micro_set1_RSICB_v1,AFT-MC-00,1
1,3.0361328125,12.5,18.75,False,8973966336,16,104449439498554289_micro_set2_PLT_DOC_v1,AFT-MC-00,1
1,3.2962646484375,4.375,21.25,False,2866700288,2,20090149883640505_micro_set0_FLW_v1,AFT-MC-00,50
1,3.670509457588196,6.875,25.625,False,10399210496,16,107409742292311680_micro_set1_RSICB_v1,AFT-MC-00,50
1,3.4140625,7.8125,34.375,False,10362297344,32,2126590510499403_micro_set0_BRD_v1,AFT-MC-00,1
1,4.05556321144104,4.375,20.0,False,10462511616,32,171564639133429902_micro_set1_PLT_NET_v1,AFT-MC-00,50
1,3.033056640625,10.0,30.625,False,4455653376,4,21926727543636975_micro_set2_AWA_v1,AFT-MC-00,50
1,2768995.15,7.5,30.0,False,3565032448,64,54993198845145322_micro_set0_RESISC_v1,AFT-MC-00,50
1,3.4718414545059204,0.0,6.25,False,9406390272,16,126417535118535268_micro_set2_MD_6_v1,AFT-MC-00,1
1,3.2337890625,3.75,23.125,False,2926153216,16,323483348847172867_micro_set0_CRS_v1,AFT-MC-00,50
1,3.01640625,10.625,36.875,True,67258880,8,156183187008790013_micro_set2_MD_6_v1,AFT-MC-00,34
1,3.017797088623047,8.125,25.0,False,980244480,128,30546634823868828_micro_set0_BRD_v1,AFT-MC-00,50
1,3.5793548822402954,12.5,25.0,False,10337923072,4,434624781575112000_micro_set2_PLT_DOC_v1,AFT-MC-00,1
1,3.848451539089805,1.9736842105263157,21.710526315789473,False,10407309312,32,11867752120470166_micro_set1_PNU_v1,AFT-MC-00,50
1,3.1669921875,1.5625,22.65625,False,8932196864,64,3755384103365887_micro_set1_DOG_v1,AFT-MC-00,1
1,3.2294921875,0.0,0.0,False,10095089664,2,6167497156039129_micro_set0_PLT_VIL_v1,AFT-MC-00,1
1,3.56209716796875,2.5,23.75,False,413689856,2,100543520764105291_micro_set2_RSD_v1,AFT-MC-00,50
1,3.099609375,6.25,20.625,True,176162304,4,63132356524580067_micro_set0_MD_MIX_v1,AFT-MC-00,26
