,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
350,ok,10624006390880757_mini_set0_BCT_v1,success,,,,,,
351,ok,106545137355324628_mini_set0_CRS_v1,success,,,,,,
352,ok,107264761874754850_mini_set2_INS_v1,success,,,,,,
353,ok,103762763725815550_mini_set1_ACT_40_v1,success,,,,,,
354,ok,10638374234738108_mini_set0_TEX_v1,success,,,,,,
355,xx,102777780404510669_mini_set2_TEX_ALOT_v1,AMP,,,,,,
356,xx,10311980938843882_mini_set1_PLT_NET_v1,AMP,,,,,,
357,ok,106008397430245413_mini_set2_ACT_410_v1,success,,,,,,
358,xx,103251677314907508_mini_set2_RSD_v1,OOM,,,,,,
359,ok,107605381972425510_mini_set2_AWA_v1,success,,,,,,
360,ok,104030873933068_mini_set2_PLT_DOC_v1,success,,,,,,
361,ok,106135525565353511_mini_set1_TEX_DTD_v1,success,,,,,,
362,xx,10835501953357283_mini_set1_PNU_v1,AMP,,,,,,
363,xx,104583302274093713_mini_set2_RSD_v1,AMP,,,,,,
364,ok,108062699899406181_mini_set2_BTS_v1,success,,,,,,
365,ok,10412447540519144_mini_set0_RESISC_v1,success,,,,,,
366,xx,1084331598037331_mini_set1_MED_LF_v1,AMP,,,,,,
367,ok,10687808780603921_mini_set2_INS_v1,success,,,,,,
368,xx,1089851879206751_mini_set2_PRT_v1,AMP,,,,,,
369,ok,10641438751492216_mini_set1_DOG_v1,success,,,,,,
370,xx,10954165052743762_mini_set0_BCT_v1,success,,,,,,
371,ok,11018434493086409_mini_set1_INS_2_v1,success,,,,,,
372,ok,107024576818918850_mini_set1_TEX_DTD_v1,success,,,,,,
373,xx,110395569665164373_mini_set1_MD_5_BIS_v1,diverged,,,,,,
374,ok,10754363492451529_mini_set1_TEX_DTD_v1,success,,,,,,
375,xx,107729578310743129_mini_set1_DOG_v1,AMP,,,,,,
376,ok,110951654920640821_mini_set1_MED_LF_v1,success,,,,,,
377,xx,107782359931284621_mini_set2_RSD_v1,OOM,,,,,,
378,ok,111363496634824154_mini_set1_PLT_NET_v1,success,,,,,,
379,ok,10362724111063473_mini_set0_PLT_VIL_v1,success,,,,,,
380,ok,11145585344206384_mini_set1_APL_v1,success,,,,,,
381,ok,104373018614039705_mini_set2_INS_v1,success,,,,,,
382,ok,10311933647411497_mini_set0_FLW_v1,success,,,,,,
383,xx,23991146148419785_mini_set1_INS_2_v1,OOM,,,,,,
384,ok,10442850975515222_mini_set2_INS_v1,success,,,,,,
385,xx,104468170572968295_mini_set0_PLK_v1,OOM,,,,,,
386,ok,2424320709137115_mini_set0_MD_MIX_v1,success,,,,,,
387,xx,105272198766724283_mini_set1_PNU_v1,batch_size>dataset_size,,,,,,
388,ok,112256803435450336_mini_set1_ACT_40_v1,success,,,,,,
389,ok,103120370631691465_mini_set1_PNU_v1,success,,,,,,
390,ok,104550732131738686_mini_set1_MED_LF_v1,success,,,,,,
391,ok,104641217643218958_mini_set0_RESISC_v1,success,,,,,,
392,xx,105170267019031525_mini_set1_PLT_NET_v1,AMP,,,,,,
393,ok,103532064313319994_mini_set1_PNU_v1,success,,,,,,
