invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,5345143296,4,19791861102973281_mini_set0_FLW_v1,AFT-MN-00,False,50
False,10236488192,16,19164909405060045_mini_set1_TEX_DTD_v1,AFT-MN-00,False,1
False,1827061760,2,339191234986571569_mini_set0_PLK_v1,AFT-MN-00,False,50
False,9579419648,16,21451000145922389_mini_set2_MD_6_v1,AFT-MN-00,False,1
False,10016729088,16,30328214062768299_mini_set2_BTS_v1,AFT-MN-00,False,50
False,10145744896,128,138877168708732498_mini_set0_BCT_v1,AFT-MN-00,False,1
False,9094502400,32,54540899006004894_mini_set2_PLT_DOC_v1,AFT-MN-00,False,1
False,1992323584,8,15132560478210833_mini_set2_BTS_v1,AFT-MN-00,True,50
False,616588288,32,243348673866919929_mini_set1_DOG_v1,AFT-MN-00,False,50
False,3688392704,64,590903797155887638_mini_set0_RESISC_v1,AFT-MN-00,True,50
False,279533056,2,112560446672666316_mini_set0_TEX_v1,AFT-MN-00,False,50
False,8699053056,256,25445515514141210_mini_set0_SPT_v1,AFT-MN-00,True,50
False,10440784896,8,27314255355618088_mini_set2_INS_v1,AFT-MN-00,False,1
False,299840512,8,281120933910189389_mini_set2_BTS_v1,AFT-MN-00,False,50
True,6297531904,4,257991306149234145_mini_set0_BCT_v1,AFT-MN-00,True,1
False,10367781888,32,23455763113895675_mini_set0_TEX_v1,AFT-MN-00,False,50
True,10111912960,64,69125178571997793_mini_set0_TEX_v1,AFT-MN-00,False,1
True,3165357568,8,22685419152591035_mini_set2_PLT_DOC_v1,AFT-MN-00,True,26
True,3466689536,2,13498822870276249_mini_set2_PRT_v1,AFT-MN-00,False,1
False,236122624,4,101528875279965081_mini_set2_PRT_v1,AFT-MN-00,True,50
False,8488626688,64,205991544226341701_mini_set1_APL_v1,AFT-MN-00,True,50
False,4931017216,2,35689677822866772_mini_set2_RSD_v1,AFT-MN-00,True,50
False,10418730496,2,37521129176793848_mini_set2_AWA_v1,AFT-MN-00,False,1
False,10342366208,32,87029849147499173_mini_set2_MD_6_v1,AFT-MN-00,False,1
True,10437845504,16,6011444701571679_mini_set0_TEX_v1,AFT-MN-00,False,10
False,10337640960,16,150472871633634154_mini_set2_RSD_v1,AFT-MN-00,False,50
False,10255226368,32,290413211684813148_mini_set1_DOG_v1,AFT-MN-00,False,50
False,57360384,2,33231310008157423_mini_set1_DOG_v1,AFT-MN-00,False,50
