invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,9086782464,128,14219032331810606_tfds-icgen_cycle_gan_ukiyoe2photo_5_v1,AFT-ZAP-00,False,50
True,10111597056,32,1441456941205005_tfds-icgen_visual_domain_decathlon_dtd_13_v1,AFT-ZAP-00,False,1
True,127397376,2,11067602889202417_tfds-icgen_cats_vs_dogs_4_v1,AFT-ZAP-00,True,26
False,1986984960,2,117771257611683037_tfds-icgen_cycle_gan_horse2zebra_10_v1,AFT-ZAP-00,False,50
False,10110284288,32,152119308454515265_tfds-icgen_cifar100_9_v1,AFT-ZAP-00,False,1
True,10298808320,4,110351853071155649_tfds-icgen_cycle_gan_horse2zebra_5_v1,AFT-ZAP-00,False,1
False,10322637824,2,15482119740666233_tfds-icgen_imagenette_5_v1,AFT-ZAP-00,False,50
False,121553920,2,129611522578534381_tfds-icgen_visual_domain_decathlon_dtd_2_v1,AFT-ZAP-00,True,50
False,9984227840,2,11079908514576666_tfds-icgen_cycle_gan_facades_14_v1,AFT-ZAP-00,True,50
False,341211136,2,16079145087792690_tfds-icgen_kmnist_1_v1,AFT-ZAP-00,True,50
False,6094873600,2,164405148572447388_tfds-icgen_omniglot_6_v1,AFT-ZAP-00,False,50
False,9669120000,2,125799950709495562_tfds-icgen_cycle_gan_facades_1_v1,AFT-ZAP-00,False,50
False,10337953792,64,16978874997469265_tfds-icgen_stanford_dogs_11_v1,AFT-ZAP-00,False,1
False,9995444224,2,15749519326187329_tfds-icgen_mnist_4_v1,AFT-ZAP-00,True,50
False,10249708032,32,152668280843103218_tfds-icgen_visual_domain_decathlon_dtd_14_v1,AFT-ZAP-00,False,1
False,200911872,2,16788377966095530_tfds-icgen_stanford_dogs_15_v1,AFT-ZAP-00,True,50
False,589218816,16,117802236655842973_tfds-icgen_rock_paper_scissors_5_v1,AFT-ZAP-00,False,50
False,10438503424,2,121779996337601887_tfds-icgen_eurosat_rgb_1_v1,AFT-ZAP-00,False,1
False,7064261632,128,1566321327320340_tfds-icgen_kmnist_13_v1,AFT-ZAP-00,True,50
False,10356994048,8,153767023826960804_tfds-icgen_uc_merced_4_v1,AFT-ZAP-00,False,50
False,6767105024,32,16950078689186834_tfds-icgen_omniglot_2_v1,AFT-ZAP-00,True,50
False,3044896256,16,10018527665812297_tfds-icgen_cycle_gan_horse2zebra_9_v1,AFT-ZAP-00,False,50
False,9978527744,128,154176854376586766_tfds-icgen_colorectal_histology_7_v1,AFT-ZAP-00,False,50
False,10418397184,16,17264659529701667_tfds-icgen_cycle_gan_iphone2dslr_flower_13_v1,AFT-ZAP-00,False,50
False,2165592576,64,1504346002973434_tfds-icgen_cycle_gan_facades_2_v1,AFT-ZAP-00,False,50
False,6223468032,32,1555264529245683_tfds-icgen_imagenet_resized_32x32_10_v1,AFT-ZAP-00,False,50
False,9830706688,32,14445649936498409_tfds-icgen_horses_or_humans_15_v1,AFT-ZAP-00,False,1
