output_state,experiment,diagnosis
xx,35934158188998958_micro_set2_RSD_v1,OOM
xx,35972065841039861_micro_set1_INS_2_v1,OOM
ok,36303694667356140_micro_set0_MD_MIX_v1,success
ok,36452554609260226_micro_set1_MED_LF_v1,success
ok,36789272814043306_micro_set0_PLT_VIL_v1,success
xx,368627102649374917_micro_set1_PNU_v1,AMP
ok,36874749311873648_micro_set0_PLK_v1,success
xx,3690514498446233_micro_set0_PLK_v1,batch_size>dataset_size
ok,369063353231934321_micro_set2_BTS_v1,success
xx,369443170604599975_micro_set1_RSICB_v1,AMP
ok,369508182779028931_micro_set2_MD_6_v1,success
ok,371528607196402768_micro_set2_TEX_ALOT_v1,success
xx,37221791434615945_micro_set1_APL_v1,AMP
ok,37307671495575800_micro_set1_PLT_NET_v1,success
ok,37350531877396544_micro_set2_FNG_v1,success
xx,373547698321811056_micro_set0_PLK_v1,batch_size>dataset_size
xx,371516968197874570_micro_set1_MD_5_BIS_v1,OOM
xx,3750274056389796_micro_set0_PLT_VIL_v1,OOM
ok,376689781061107076_micro_set1_DOG_v1,success
ok,37787064348041360_micro_set1_PLT_NET_v1,success
xx,38030472476771687_micro_set0_RESISC_v1,batch_size>dataset_size
ok,380803707462728192_micro_set0_RESISC_v1,success
ok,381294759424366147_micro_set0_MD_MIX_v1,success
xx,382939277530488145_micro_set2_FNG_v1,AMP
ok,383000253793981688_micro_set1_MED_LF_v1,success
xx,38323655056451151_micro_set2_PLT_DOC_v1,AMP
xx,38745387116342701_micro_set1_ACT_40_v1,OOM
xx,387849969171057859_micro_set0_PLT_VIL_v1,OOM
xx,38831389370776058_micro_set0_RESISC_v1,NoCUDA
ok,38957712211755477_micro_set0_RESISC_v1,success
xx,39077907644951927_micro_set2_PLT_DOC_v1,batch_size>dataset_size
ok,39407297329918179_micro_set2_BTS_v1,success
ok,3944922950647818_micro_set2_BTS_v1,success
xx,39480565363055087_micro_set0_TEX_v1,AMP
ok,394862137841780592_micro_set2_TEX_ALOT_v1,success
xx,3951287931836386_micro_set2_FNG_v1,success
xx,3959772122849875_micro_set2_PRT_v1,AMP
ok,3969787273450632_micro_set1_APL_v1,success
ok,399988098508145958_micro_set0_TEX_v1,success
ok,40013232687724386_micro_set1_ACT_40_v1,success
ok,40557116272863260_micro_set2_PLT_DOC_v1,success
ok,40461340160259374_micro_set0_PLK_v1,success
xx,40671911691091898_micro_set1_PNU_v1,OOM
ok,409249233741803116_micro_set1_MD_5_BIS_v1,success
xx,409434342411816790_micro_set0_BRD_v1,batch_size>dataset_size
ok,40946550970229175_micro_set1_PLT_NET_v1,success
ok,41027085790602611_micro_set2_MD_6_v1,success
ok,41206841840372178_micro_set2_AWA_v1,success
xx,413871255037255477_micro_set1_INS_2_v1,success
xx,414036762816068225_micro_set2_PLT_DOC_v1,NoCUDA
xx,41465610437294450_micro_set1_TEX_DTD_v1,NoCUDA
xx,41555316666599440_micro_set0_BRD_v1,NoCUDA
xx,418807124459277243_micro_set2_PLT_DOC_v1,NoCUDA
xx,41429197724104419_micro_set0_BCT_v1,AMP
xx,41930128392714196_micro_set1_MD_5_BIS_v1,NoCUDA
xx,4199976799257491_micro_set0_SPT_v1,batch_size>dataset_size
xx,42155215156821286_micro_set2_INS_v1,NoCUDA
xx,42226226521041149_micro_set2_INS_v1,batch_size>dataset_size
xx,42618048938740683_micro_set1_RSICB_v1,NoCUDA
xx,42822545550178792_micro_set0_SPT_v1,NoCUDA
xx,42823449602586992_micro_set2_TEX_ALOT_v1,NoCUDA
xx,431437780062485_micro_set1_APL_v1,NoCUDA
xx,42623316737053501_micro_set1_PLT_NET_v1,OOM
xx,43321745634939722_micro_set0_MD_MIX_v1,NoCUDA
ok,43354979685720249_micro_set0_RESISC_v1,success
xx,433869641548092368_micro_set1_PNU_v1,NoCUDA
xx,43709805964489263_micro_set2_FNG_v1,NoCUDA
ok,429059418035281559_micro_set2_INS_v1,success
ok,44032994921607452_micro_set1_TEX_DTD_v1,success
ok,441445193845760774_micro_set2_PRT_v1,success
ok,43817978224557335_micro_set1_PLT_NET_v1,success
ok,4474171301038842_micro_set1_TEX_DTD_v1,success
xx,446086987312699480_micro_set1_ACT_40_v1,OOM
xx,4487595973004075_micro_set0_CRS_v1,diverged
xx,4496480346023866_micro_set1_TEX_DTD_v1,OOM
ok,451788041352295631_micro_set1_MD_5_BIS_v1,success
ok,45240668986546376_micro_set1_MD_5_BIS_v1,success
ok,45341249456938562_micro_set2_AWA_v1,success
ok,4541372873534812_micro_set2_RSD_v1,success
ok,4545872166627656_micro_set1_TEX_DTD_v1,success
xx,46046760252047024_micro_set2_ACT_410_v1,OOM
ok,46050820732658088_micro_set0_PLK_v1,success
ok,4612387144595225_micro_set1_DOG_v1,success
ok,4627230623051149_micro_set1_DOG_v1,success
xx,465260171570654639_micro_set1_APL_v1,AMP
ok,465277410127630_micro_set0_FLW_v1,success
