,output_state,experiment,diagnosis,device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,project,curve_length
271,ok,276510605490542174_micro_set2_PLT_DOC_v1,success,1.0,3.0198068618774414,3.75,21.875,False,4634374144.0,256.0,AFT-MC-00,50.0
272,ok,27666283593336698_micro_set1_TEX_DTD_v1,success,1.0,3.107305586338043,6.875,31.875,False,6502666752.0,4.0,AFT-MC-00,50.0
273,xx,27674296603808385_micro_set1_DOG_v1,AMP,,,,,,,,,
274,ok,2791543962924994_micro_set1_APL_v1,success,1.0,8.530981123570794e+17,4.375,23.125,False,7001490432.0,8.0,AFT-MC-00,50.0
275,ok,279881315131776318_micro_set1_MD_5_BIS_v1,success,1.0,3.2723825961351394,3.75,25.625,False,1618551296.0,2.0,AFT-MC-00,50.0
276,xx,283881737186725977_micro_set1_RSICB_v1,AMP,,,,,,,,,
277,ok,10064088771022210_micro_set1_INS_2_v1,success,1.0,3.1555832266807555,5.0,23.75,False,206526464.0,8.0,AFT-MC-01,50.0
278,xx,101008085095368131_micro_set0_PLK_v1,AMP,,,,,,,,,
279,ok,10069408305057294_micro_set2_FNG_v1,success,1.0,3.1286266684532165,3.125,25.625,False,1524698112.0,2.0,AFT-MC-01,50.0
280,ok,100792204074428891_micro_set1_INS_2_v1,success,1.0,,5.0,23.75,True,9944972800.0,8.0,AFT-MC-01,26.0
281,xx,100867773310318395_micro_set2_PRT_v1,AMP,,,,,,,,,
282,xx,28702093876693825_micro_set1_DOG_v1,AMP,,,,,,,,,
283,xx,101042363122732959_micro_set1_ACT_40_v1,OOM,,,,,,,,,
284,ok,28766055060806708_micro_set1_DOG_v1,success,1.0,2.92639632601487,10.526315789473685,33.55263157894737,False,2652552192.0,4.0,AFT-MC-00,50.0
285,ok,101233308578836232_micro_set0_PLK_v1,success,1.0,3.646800754185781e+29,3.75,24.375,False,6890045952.0,4.0,AFT-MC-01,50.0
286,ok,10207461071584764_micro_set0_TEX_v1,success,1.0,3.138152280449867,0.625,13.75,False,3348228608.0,2.0,AFT-MC-01,50.0
287,xx,101887419539863251_micro_set0_SPT_v1,OOM,,,,,,,,,
288,xx,28805993802827297_micro_set2_BTS_v1,batch_size>dataset_size,,,,,,,,,
289,ok,28934423760389244_micro_set2_INS_v1,success,1.0,1.079508765923659e+18,5.0,30.625,False,3296850432.0,16.0,AFT-MC-00,50.0
290,ok,28985281059947865_micro_set2_PRT_v1,success,1.0,3.3671875,6.875,23.75,False,4689132032.0,256.0,AFT-MC-00,50.0
291,xx,2912540150672861_micro_set0_SPT_v1,AMP,,,,,,,,,
292,ok,29221533259129066_micro_set0_TEX_v1,success,1.0,3.4339301943778993,3.125,13.125,False,7529830400.0,8.0,AFT-MC-00,50.0
293,xx,29225963878758061_micro_set0_PLK_v1,OOM,,,,,,,,,
